,Compound,Date,Network,Text,Twitter Handle
0,-0.7845,2017-12-11 22:53:26,BBC News (UK),"Tuesday’s Times: ""Prosecute web giants for abuse, May urged"" #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/N99vgma3wN",@BBCNews
1,0.0,2017-12-11 22:53:04,BBC News (UK),"Tuesday’s Guardian: ""Grenfell: Call for families to be heard at last""  #bbcpapers #tomorrowspaperstoday (via… https://t.co/HlkOBCyysb",@BBCNews
2,0.0,2017-12-11 22:52:38,BBC News (UK),"Tuesday’s Sun: ""Twitter Is Playground For Paedos"" #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/hapQ3l4DfX",@BBCNews
3,-0.4404,2017-12-11 22:52:12,BBC News (UK),"Tuesday’s Daily Telegraph: ""Passengers denied cheap Christmas rail tickets"" #bbcpapers #tomorrowspaperstoday (via… https://t.co/OwC5YfFp0Z",@BBCNews
4,0.0,2017-12-11 22:51:55,BBC News (UK),"Tuesday’s City AM: ""Ball’s In Your Court!"" #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/2PGRf8Us9a",@BBCNews
5,0.0,2017-12-11 22:51:21,BBC News (UK),"Tuesday’s Metro: ""President Trump 'Is A Pervert'"" #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/eCI7sPB5XU",@BBCNews
6,0.0,2017-12-11 22:51:08,BBC News (UK),"Tuesday’s i: ""The biggest breakthrough in brain science for 50 years"" #bbcpapers #tomorrowspaperstoday (via… https://t.co/xvxgJifbdE",@BBCNews
7,-0.34,2017-12-11 22:50:40,BBC News (UK),"Tuesday’s Financial Times: ""Europeans issue warning to Trump on tax overhaul"" #bbcpapers #tomorrowspaperstoday (via… https://t.co/A7e366ONGH",@BBCNews
8,0.0,2017-12-11 22:50:10,BBC News (UK),"Tuesday’s Mirror: ""Colder Than Moscow"" #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/rhdc0qGdKK",@BBCNews
9,0.0,2017-12-11 22:46:56,BBC News (UK),"Tuesday’s Daily Mail: ""Facebook 'Ripping Society Apart'"" #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/WUgYzGOMGt",@BBCNews
10,0.2263,2017-12-11 22:45:00,BBC News (UK),Stay warm 🌨️ https://t.co/OVZFPxMiaA,@BBCNews
11,0.0,2017-12-11 22:31:51,BBC News (UK),"About 500,000 children gamble every week, regulator says https://t.co/Locuq59tr1",@BBCNews
12,0.1027,2017-12-11 22:13:31,BBC News (UK),RT @bbclaurak: Whitehall source says they don’t recognise reports that Damien Green will be cleared on Wednesday and suggestions that a fin…,@BBCNews
13,-0.4215,2017-12-11 22:04:45,BBC News (UK),RT @BBCScienceNews: Global recall of Lactalis baby milk over salmonella fears https://t.co/bLobqe1eP5,@BBCNews
14,0.0,2017-12-11 21:31:08,BBC News (UK),"RT @bbcweather: A wintry feel to the weather for now, but how long will it last? Here's the long range weather: https://t.co/YVyc6cqQ5q NP…",@BBCNews
15,-0.0516,2017-12-11 19:44:07,BBC News (UK),Syria service for British fighters Jac Holmes and Oliver Hall https://t.co/Oh7D2K6QHy,@BBCNews
16,-0.2732,2017-12-11 19:37:11,BBC News (UK),Mesh risks not passed on to doctors https://t.co/FX139pAk71,@BBCNews
17,0.0,2017-12-11 19:15:45,BBC News (UK),Keith Chegwin: His life and career in pictures https://t.co/HTmw1TK0Bl https://t.co/1ZPeMVHWon,@BBCNews
18,0.0,2017-12-11 18:31:34,BBC News (UK),Central Saint Martins refunds dramatic writing students https://t.co/MBrmof79tQ,@BBCNews
